Entry name,Start Date,End Date,Region,In trance possession:,Through divination practices:,Through divination processes:,Is a spirit-body distinction present:,Other spirit-body relationship:,Spirit distinct powers:,Spirit non-material:,Belief in afterlife:
Tariqa Shadhiliyya,1258,2020,MENA + Andalusia,unk,unk,unk,yes,no,yes,yes,yes
Sub Saharan Africa Pentecostalism,1907,2022,Sub Saharan Africa,no,no,unk,yes,unk,yes,unk,yes
Contemporary West African Vodun,1960,2022,Coastal West Africa,yes,yes,yes,yes,no,yes,yes,yes
Ethiopian Orthodox Tewahedo Church,328,2024,Ethiopia,yes,yes,yes,yes,no,yes,yes,yes
Haitians,1910,1935,"Mirebalais, Haiti",unk,unk,unk,yes,unk,unk,unk,yes
The Church of All Worlds,1963,2020,The United States (primarily the west coast and the midwest) as well as Australia,no,unk,yes,yes,yes,yes,yes,yes
Manjuzu- Mermaid spirits,2020,2026,Zimbabwe,unk,unk,unk,unk,unk,unk,unk,unk
Nigerian Pentecostalism,1910,2020,Nigeria,yes,no,no,yes,no,yes,yes,yes
Muscular Christianity,1762,2020,Countries with significant Muscular Christian presence.,no,no,unk,yes,unk,yes,unk,yes
Mandarese Muslims,1593,2004,Mandar River Valley & Polewali,unk,unk,unk,yes,unk,yes,yes,yes
Semang,1910,1940,"Jahai subtribe of northeastern Perak and northwestern Kelantan, Malaysia",unk,unk,unk,yes,unk,yes,unk,yes
International Sivananda Yoga Vedanta Centers,1957,2023,"Americas, Europe, Asia",yes,yes,yes,yes,yes,yes,yes,yes
Universal Fellowship of Metropolitan Community Churches,1968,2020,U.S. and Canada,no,no,unk,yes,no,yes,yes,yes
Protestantism welcoming People with Disabilities,2000,2020,"New Jersey, New York, Pennsylvania",no,no,unk,yes,yes,no,yes,yes
Mundurucu,1850,1900,Mundurucu Territory ca. 1850,unk,unk,unk,yes,unk,unk,yes,yes
Kwoma,1912,1937,"Ambunti Sub-Province, Sepik River region, Papua New Guinea",unk,unk,unk,yes,unk,yes,yes,yes
Anomeans,350,398,Anatolia,unk,unk,unk,yes,unk,unk,yes,yes
Charismatic Renewal Movement in Christianity - Second Wave Pentecostalism,1960,2020,USA,no,no,unk,yes,no,yes,yes,yes
Unitarian Universalism,1825,2020,Unitarian Univeralist Organizations,unk,unk,unk,yes,unk,yes,yes,yes
Christ Apostolic Church,1941,2022,Nigeria,unk,unk,unk,unk,unk,unk,unk,unk
Lamet,1915,1945,Northwestern Laos,unk,unk,unk,yes,unk,yes,unk,yes
Congregation of Jesus,1609,2020,Britain,unk,unk,unk,unk,unk,unk,unk,unk
Comanche,1855,1880,Comanche-occupied southern Great Plains ca. 1870,unk,unk,unk,yes,unk,unk,unk,yes
Natchez,1710,1730,Natchez Territory ca. 1718,unk,unk,unk,yes,unk,unk,unk,yes
Lakalai,1885,1910,"Hoskins Peninsula, New Britain.",unk,unk,yes,yes,unk,yes,no,yes
Three Self Patriotic Movement (TSPM),1950,2021,People's Republic of China,no,no,unk,yes,yes,yes,yes,yes
Asatru Folk Assembly,1994,2026,USA,unk,unk,unk,unk,unk,unk,unk,unk
De Jiao,1951,2010,Mainland Southeast Asia and China,unk,unk,unk,unk,unk,unk,unk,unk
Redeemed Christian Church of God,2020,2021,Southeastern Nigeria,unk,unk,unk,unk,unk,unk,unk,unk
Marquesans,1800,1875,"Nuku Hiva Island, French Polynesia",unk,unk,unk,yes,unk,unk,yes,yes
Jivaro,1895,1929,Jivaro of Ecuador and Peru,unk,unk,unk,yes,unk,unk,unk,yes
Yahgan,1900,1924,"Tierra del Fuego, Chile",unk,unk,unk,yes,unk,yes,yes,yes
OYA RELIGIOUS GROUP IN OYO,1800,1900,Oyo,yes,yes,yes,yes,yes,yes,yes,yes
Encratites,100,400,AncientMediterranean,unk,unk,unk,yes,unk,yes,yes,yes
"""Gaiwiio Religion,"" ""Longhouse Religion,"" or ""The Way of Handsome Lake"" of the Seneca Tribe",1750,1850,Seneca Reservations (1797),no,no,unk,yes,no,yes,yes,yes
Eastern Roman Manichaeism,300,600,Eastern Roman Empire (300-600),unk,unk,unk,yes,unk,yes,unk,yes
Aladura Christianity in Nigeria,1918,2023,Nigeria,yes,yes,unk,yes,no,yes,yes,yes
Luguru,1910,1935,Uluguru Mountains ca. 1925,unk,unk,unk,yes,unk,yes,yes,yes
"Living Faith International Church, a.k.a Winners Chapel",1981,2026,Southeast Nigeria,unk,unk,unk,unk,unk,unk,unk,unk
Shilluk,1895,1925,"Shilluk lands, ca. 1910",yes,unk,unk,yes,unk,unk,unk,yes
Rufaqa’ Corporation,1997,2008,Malaysia,unk,unk,unk,unk,unk,unk,unk,unk
The Cult of the Fox,1500,1950,North China,yes,unk,yes,yes,no,no,no,yes
Gros Ventre,1835,1885,Fort Belknap Reservation and Gros Ventre lands,yes,unk,unk,yes,unk,unk,unk,yes
Pentecost,1928,1959,"Southern Pentecost Island, Vanuatu",unk,unk,unk,yes,unk,yes,yes,yes
Taiping 太平 Movement,1837,1866,Territory of the Taiping Movement,yes,no,unk,yes,no,yes,yes,yes
Mountain of Fire and Miracles Ministries,1989,2025,Nigeria,unk,unk,unk,unk,unk,unk,unk,unk
The Sarna religion of the Oraons of Jharkhand,1845,2019,"Ranchi, Jharkhand",yes,no,yes,yes,yes,yes,yes,yes
"The Church of Christ, Scientist",1866,2020,Origins of Christian Science,unk,unk,unk,yes,unk,yes,yes,yes
Sikhism in the United States,1899,2020,USA,no,no,unk,yes,unk,yes,yes,yes
Royalhouse Chapel International in the UK,1999,2026,Great Britain_Political Territory_DRH,unk,unk,unk,unk,unk,unk,unk,unk
"The New Prophecy or ""Montanism""",165,550,Locations of the New Prophecy,yes,no,unk,yes,unk,yes,no,yes
Christ Embassy,1996,2026,Great Britain_Political Territory_DRH,unk,unk,unk,unk,unk,unk,unk,unk
Sethian Gnostic,100,400,"Alexandria and the Nile, Rome, Antioch and environs, etc.",unk,unk,unk,yes,no,yes,yes,yes
Sango Religious group in Oyo,1800,1900,Oyo,yes,yes,yes,yes,no,yes,yes,yes
Neo-Charismatic Movement - Third Wave Charismatic Movement,1980,2020,USA,no,no,unk,yes,no,yes,yes,yes
The philosophical system of 'Ubuntu' in Southern Africa,-1800,2024,Southern Africa,yes,yes,yes,yes,yes,yes,yes,yes
The Dingxiang Wang Cult,1124,1991,The extent of Dingxiang Wang temples at the end of the Qing,yes,yes,yes,yes,unk,unk,unk,yes
The Redeemed Christian Church of God UK,1988,2026,Great Britain_Political Territory_DRH,unk,unk,unk,unk,unk,unk,unk,unk
Wesleyanism,1738,2020,Worldwide Wesleyan/Methodist Populations,no,no,unk,yes,unk,yes,unk,yes
Digital Shinto Communities,2001,2021,Global Digital Shinto Communities Network,yes,unk,yes,yes,unk,yes,no,yes
Winners Chapel International,2002,2026,Great Britain_Political Territory_DRH,unk,unk,unk,unk,unk,unk,unk,unk
Opus Dei,1928,2020,Opus Dei (66 Countries),no,no,no,yes,yes,yes,yes,yes
The Jesus Fellowship Church,2007,2019,Great Britain_Political Territory_DRH,unk,unk,unk,unk,unk,unk,unk,unk
Society of Jesus,1540,1773,Italy,yes,no,unk,yes,unk,yes,yes,yes
Classical Chan Buddhism,750,950,Tang China,unk,unk,unk,unk,unk,unk,unk,unk
Cayapa,1879,1909,Rio Cayapas drainage,unk,unk,unk,yes,unk,yes,unk,yes
Trumai,1910,1940,"Trumai village of Vanivani, central Mato Grosso State, Brazil",unk,unk,unk,yes,unk,unk,unk,yes
Javanese,1930,1960,Town and environs of Pare,unk,unk,unk,unk,unk,unk,unk,yes
Tiwi,1904,1930,Melville Island,unk,unk,unk,yes,unk,unk,unk,yes
Iban,1941,1966,"Sarawak, Borneo Island",unk,unk,unk,yes,unk,unk,yes,yes
Kaska,1870,1915,Upper Liard River,unk,unk,unk,yes,unk,unk,unk,yes
Huron,1615,1640,Huronia,no,unk,no,yes,unk,yes,unk,yes
Pre-Christian Religion / Paganism in Gaul,-600,-51,Gaul,unk,unk,unk,yes,unk,yes,yes,yes
Pre-Christian Religion / Paganism in Ireland,-500,900,Iron Age Ireland,unk,unk,unk,yes,unk,unk,yes,yes
Pre-Christian Religion / Paganism in Northern Britain (Pictland / Scotland),-500,900,Northern Britain / Scotland,unk,unk,unk,unk,unk,unk,unk,unk
Neo-Assyrian Healers (āšipu/mašmaššu-exorcists),-900,-612,Cities integrated in the Assyrian empire,unk,unk,yes,yes,unk,yes,unk,yes
Religion at Nippur in the Ur III period,-2100,-2000,Ur III core region,unk,yes,unk,yes,unk,unk,unk,yes
Chalcolithic Southern Levant,-4500,-3600,Levant,unk,unk,unk,unk,unk,unk,unk,unk
Gardnerian Wicca,1939,2025,"Europe, the Americas, Australasia",unk,unk,unk,unk,unk,unk,unk,unk
Cherubim & Seraphim Movement Church (Worldwide) Ayo Ni O,1972,2023,"Ibadan, Oyo State, Nigeria",yes,yes,no,yes,yes,yes,yes,yes
Native-Roman Auxiliary Cavalry Depositional Ritual Participants,-100,500,British Isles and NW Europe,unk,unk,unk,unk,unk,unk,unk,unk
Universal Salvation Ritual,1200,1920,Zhejiang; Shanxi,yes,yes,yes,yes,unk,yes,yes,yes
Reginistas,1968,2022,"Mexico City, and Aldea de los Reyes in Amecameca (State of Mexico)",no,unk,no,yes,unk,yes,unk,yes
Lạc Healing,2022,2026,Vietnam5,unk,unk,unk,unk,unk,unk,unk,unk
Orphism,-550,450,Roman Empire (Greatest Extent),unk,unk,unk,yes,unk,yes,unk,yes
Haroi,1470,2019,Cham H'roi,yes,yes,yes,yes,no,no,no,yes
The Classic Period Peripheral Coastal Lowlands Ritual Ballgame Cult,400,1000,Peripheral Coastal Lowlands,yes,unk,yes,yes,yes,unk,unk,yes
African Initiated Churches,1900,2022,"Moria, Limpopo, South Africa",no,no,yes,yes,yes,no,yes,yes
Alexandrian Wicca,1961,2026,Great Britain_Political Territory,unk,unk,unk,unk,unk,unk,unk,unk
Yoruba Indigenous religion,20,21,Osun,unk,unk,unk,unk,unk,unk,unk,unk
"The Holy Apostles Community, Ori-Oke Iwamimo",1950,2023,"Ori-Oke Iwamimo, Ilaje local government area of Ondo State, Nigeria",yes,yes,yes,yes,yes,yes,yes,yes
"Meo Muslim, Mev, Mewati Muslim",1100,2020,"Haryana, Rajasthan, and Eastern Uttar Pradesh, North India",yes,yes,yes,no,unk,unk,unk,yes
Energy Healing Groups in Brittany,2014,2026,Brittany,unk,unk,unk,unk,unk,unk,unk,unk
Sachchai,1975,2020,Nepal and parts of North India,no,no,unk,unk,unk,unk,unk,yes
Barbara Brennan School of Healing,1982,2026,Montreal1,unk,unk,unk,unk,unk,unk,unk,unk
Dunamis International Gospel Center,2020,2026,"Umuahia, Abia State, Southeastern Nigeria",unk,unk,unk,unk,unk,unk,unk,unk
Religion at Deir el-Medina,-1504,-1069,Deir el-Medina,unk,yes,yes,yes,yes,yes,yes,yes
Early Medieval Confucianism,220,589,Northern Wei and the Liu-Song,no,no,no,yes,yes,yes,yes,yes
Salamullah,1996,2025,"Jakarta, Banten, and Bogor",unk,unk,unk,unk,unk,unk,unk,unk
Religion in Judah,-1000,-586,Ancient Judah,unk,yes,unk,yes,unk,unk,no,yes
Modern Mystery School (MMS),1997,2021,Primarily North America and Japan,unk,unk,unk,yes,no,yes,yes,yes
Simon Kimbangu,1921,1951,Peregrine_Tshitolian,unk,unk,unk,unk,unk,unk,unk,yes
IFA RELIGIOUS GROUP IN ILE- IFE,1930,2015,Ile-Ife,yes,yes,yes,no,unk,unk,unk,yes
The Lighthouse Chapel International,1993,2026,Great Britain_Political Territory_DRH,unk,unk,unk,unk,unk,unk,unk,unk
Maruyamakyō,1910,1945,Japanese Empire and Occupied Areas,unk,unk,unk,unk,unk,unk,unk,unk
Pontifex Maximus and Pontifices (Pontifical College),-712,380,Rome,no,yes,unk,yes,unk,unk,unk,yes
Igbo Traditional Religion,1800,2024,"Igboland, South East, Nigeria",yes,yes,unk,yes,no,yes,yes,yes
Pawnee,1842,1870,Skidi Band Territory,unk,unk,unk,yes,unk,unk,unk,yes
The Fellowship of Goodness 同善社 (Tongshanshe),1910,1951,Poyang Lake Area,unk,unk,unk,no,unk,unk,unk,no
Overcomers Evangelical Mission International (Ori-Oke Asegun),2003,2018,Ile-Ife,yes,yes,unk,yes,yes,yes,yes,yes
Yanshi Shangcheng,-1600,-1365,"Luo River, Yellow River Valley, Henan Province",unk,unk,unk,unk,unk,unk,unk,unk
Egyptian Salafism (inluding North Africa and West Asia),1870,2015,North Africa,no,no,unk,yes,unk,yes,yes,yes
"R. Shimon Bar Yochai's Tomb, Meron Israel",2023,2026,Phoenicia,unk,unk,unk,unk,unk,unk,unk,unk
The Monastic School of Gaza,320,536,Gaza.,unk,unk,unk,unk,unk,unk,unk,yes
Huichol,1880,1934,"Huichol Territory, Nayarit and Jalisco, Mexico",unk,unk,unk,yes,unk,unk,unk,yes
Creek,1785,1810,Upper division of Alabama,unk,unk,unk,yes,unk,unk,yes,yes
Tallensi,1915,1940,Volta River basin of Northern Ghana,unk,unk,yes,yes,unk,unk,unk,yes
Theurgy,150,529,Known Theurgic Neoplatonic Schools,unk,unk,unk,yes,unk,yes,unk,yes
Religion at Erlitou,-1800,-1500,"Erlitou Yanshi,Henan",unk,unk,unk,unk,unk,unk,unk,yes
The Life Oasis International Church,1988,2026,"Nigeria, West Africa",unk,unk,unk,unk,unk,unk,unk,unk
Newar Buddhists,1200,2018,Greater Kathmandu Valley,yes,unk,yes,yes,unk,yes,unk,yes
Sámi pre-Christian religion,500,1500,Sápmi (The Sámi Land),yes,yes,unk,unk,unk,unk,unk,unk
Lingbao dafa,400,1400,Jiangnan Area,yes,yes,yes,yes,unk,yes,unk,yes
Moche (Mochica),-200,1000,North Coast of Peru,unk,unk,unk,unk,unk,unk,unk,unk
Caddo,800,2026,Ancestral Caddo Territory,unk,unk,unk,unk,unk,unk,unk,unk
Chavin,-900,-200,South-Central Andes,unk,unk,unk,unk,unk,unk,unk,unk
Religion of Phoenicia,-1200,-330,Phoenicia,unk,yes,unk,yes,unk,unk,unk,yes
Liumen (Liu School),1807,1950,Sichuan and surrounding areas,unk,yes,yes,yes,no,yes,yes,yes
"West Bengal, India",1200,1800,West Bengal,unk,unk,unk,unk,unk,unk,unk,unk
Bailadeiras of Goa,1510,1650,Goa,yes,yes,unk,unk,unk,unk,unk,yes
"Shenxiao 神霄 (""Divine Empyrean"") Daoism",1100,2021,Northern Song Dynasty,unk,unk,unk,yes,yes,yes,no,yes
Tikopia,1905,1935,Island of Tikopia,unk,unk,unk,yes,unk,unk,yes,yes
Emar: A Hittite Vassal in Late Bronze Age Syria,-1400,-1200,Emar,unk,unk,unk,unk,unk,unk,unk,unk
Goajiro,1922,1947,Guajira Peninsula,unk,unk,unk,yes,unk,unk,unk,yes
Mexica (Aztec) Religion,1325,1521,Aztec Imperial Core,yes,yes,yes,yes,yes,yes,unk,yes
Nyakyusa,1905,1940,Northern Coastal Plain of Lake Malawi,unk,unk,unk,unk,unk,unk,unk,unk
Ashanti,1880,1910,"Kumasi, Ashanti Region, Ghana, ca. 1895",unk,unk,unk,yes,unk,unk,yes,yes
Ethiopian Jews,1980,2020,israel,no,unk,no,yes,unk,no,unk,yes
Toda,1885,1910,"Nilgiri Hills, western Tamil Nadu state, India",unk,unk,unk,yes,unk,unk,unk,yes
"Worshippers at the Chidambaram Nataraja Temple, Modern Period",700,2019,Tamil Nadu,yes,no,yes,yes,no,yes,yes,yes
Alumbrados,1492,1550,Europe,unk,unk,unk,unk,unk,unk,unk,unk
Pre-Pottery Neolithic in the Near East,-9700,-6600,South-west Asia,unk,unk,unk,yes,unk,unk,unk,yes
"The LuWang School, the School of Lu Xiangshan and Wang Yangming",1200,1900,Ming and Qing China (combined area),yes,yes,unk,no,unk,unk,unk,yes
Ainu,1855,1880,"Saru Basin, Hokkaido, Japan",unk,unk,unk,yes,unk,unk,unk,yes
"Gaddi, a Hindu community of the Western Himalayas",1845,2018,Gaddis of the Western Himalayas -- Modern Period,yes,yes,unk,yes,unk,unk,unk,yes
Gujarati Mata Worshipers,1850,2019,Gujarat,yes,yes,yes,yes,no,yes,yes,yes
The Ghost Dance Movement and the Lakota Sioux,1860,1910,Lakota Sioux Reservations as of 1890,no,unk,no,yes,no,no,yes,yes
Sathya Sai Baba Movement,1967,2013,Singapore,unk,unk,unk,unk,unk,unk,unk,unk
!Kung,1925,1960,"Nyae Nyae region, Namibia",unk,unk,unk,yes,unk,yes,yes,yes
Céli Dé monks,780,900,Leinster and East Munster,no,no,no,yes,unk,yes,unk,yes
Mende,1920,1950,"Vicinity of the town of Bo, Sierra Leone",unk,unk,unk,yes,unk,unk,unk,yes
Siuai,1914,1939,Bougainville Island,unk,unk,unk,yes,unk,unk,yes,yes
British Isles: Romano-British,43,500,British Isles: England,unk,unk,unk,unk,unk,unk,unk,unk
(Archaeology of) Religion in New Kingdom Nubia,-1550,-1070,Nubia,unk,unk,unk,yes,unk,unk,unk,yes
Gāṇapatya,500,2020,Important centers of Ganapatya worship,yes,yes,yes,yes,no,yes,yes,yes
Kimpa Vita,1704,2020,Kingdom of Kongo map,yes,yes,yes,yes,unk,unk,unk,yes
Tiv,1905,1934,Tiv settlements of Benue province,unk,unk,unk,yes,unk,unk,unk,yes
Muslim Students Association of the United States and Canada,1960,2022,United States and Canada,yes,yes,yes,yes,unk,no,unk,yes
Kingdom of Edom,-800,-550,Edom,unk,yes,unk,unk,unk,unk,unk,unk
Badjau,1940,1966,Tawi-Tawi and adjacent islands,unk,unk,unk,yes,unk,yes,unk,yes
Vestal Virgins,-800,394,Rome,yes,yes,unk,yes,unk,unk,unk,yes
Xuanxue 玄學,200,600,Southern and Northern Dynasties 440 CE,unk,unk,unk,unk,unk,unk,unk,unk
Alevism,2013,2026,Great Britain_Political Territory_DRH,unk,unk,unk,unk,unk,unk,unk,unk
Tenrikyo in France,2013,2020,France,unk,unk,unk,unk,unk,unk,unk,unk
Piaganism,2012,2026,Piauí,unk,unk,unk,unk,unk,unk,unk,unk
Nation of Islam,1930,2020,Nation of Islam in American Cities,yes,no,yes,yes,unk,yes,unk,no
Yiguan Dao/I-Kuan Tao 一貫道,1870,2021,Yiguan Dao in Taiwan,yes,yes,yes,yes,unk,yes,unk,yes
Nyingma Treasure,1200,1500,Tibet (Tufan) - 669 CE,yes,no,yes,yes,yes,yes,yes,yes
Hidatsa,1816,1840,Hidatsa territory,unk,unk,unk,yes,unk,unk,unk,yes
Syncretic Polytheism in Curious Pastimes LARP,2019,2022,Curious Pastimes LARP sites,yes,yes,unk,yes,unk,yes,unk,yes
Qur'anic Recitation - The Seven Qirāʾāt,935,1430,al-Andalus and Baghdad,unk,unk,unk,unk,unk,unk,unk,unk
Sannō Shintō,800,1571,"Lake Biwa area, Kyōto and Mt Hiei",yes,yes,unk,yes,unk,yes,no,yes
Malanda Ma Croix Koma,1964,1971,Central Africa/Congo-Brazzaville/Region of Pool,yes,yes,unk,yes,unk,no,yes,yes
Śākadvīpīya Brāhmaṇas,2,21,North India (Rājasthān and Bihār),no,no,unk,yes,unk,yes,unk,no
Religion in Nabataea,-300,450,Kingdom of Nabataea,unk,unk,unk,yes,unk,unk,unk,unk
Valentinians,135,400,Ancient Mediterranean,no,no,unk,yes,unk,yes,yes,yes
Mevlevi Sufi Order: The Disciples of Mawlana Rumi,1200,1350,Mevlevi Sphere of Influence,unk,unk,unk,unk,unk,unk,unk,unk
Pagans Under the Reign of Julian,361,363,Roman Empire (Greatest Extent),unk,unk,unk,unk,unk,unk,unk,unk
Pagans under the Emperor Julian,361,363,Roman Empire (Greatest Extent),yes,yes,unk,yes,unk,yes,yes,yes
Ilm-e-Khshnoom,1907,2020,Parsis in India,no,yes,unk,yes,no,yes,yes,yes
Royal Hittite Religion,-1650,-1180,Central Anatolia,yes,yes,yes,yes,yes,yes,yes,yes
Spartan Religion,-800,-300,Sparta and surrounding territory ('chora'),unk,yes,unk,unk,unk,unk,unk,yes
"Catholicism in the Latin Empire, Catholicism in the Eastern Roman Empire (Byzantium), the Latin Patriarchate of Constantinople",1204,1261,Latin Empire,unk,unk,unk,yes,unk,unk,unk,yes
Hillsong Church (Global),1983,2026,Great Britain_Political Territory,unk,unk,unk,unk,unk,unk,unk,unk
The Religious Society of Friends,1652,2020,The Religious Society of Friends (Quakers),yes,no,unk,yes,no,yes,yes,yes
Pythagoreanism,-530,200,Southern Italy and Greece,unk,unk,unk,yes,no,yes,yes,yes
Soul Survivor Network,1993,2023,Great Britain_Political Territory_DRH,unk,unk,unk,unk,unk,unk,unk,unk
Twofold Mystery (Chongxuan 重玄),500,700,"Chang'an, Jiankang, and Sichuan",no,unk,unk,yes,yes,yes,no,yes
Muridiyya of Senegal,1853,2022,"Senegal, West Africa",unk,unk,unk,yes,no,yes,yes,yes
The Cult of Maritime Hera,-800,-400,"Sanctuaries and Cult Sites of ""Maritime Hera""",unk,unk,unk,unk,unk,unk,unk,yes
Krishna West,2013,2026,Krishna West diaspora,unk,unk,unk,unk,unk,unk,unk,unk
Aweikoma,1909,1934,"Duque de Caxias Reservation, state of Santa Catarina, Brazil ca. 1932",unk,unk,unk,yes,unk,unk,unk,yes
UCM Teaching and Research Center,2001,2026,Worldwide,unk,unk,unk,unk,unk,unk,unk,unk
K’iche’ (Quiché),1910,1940,Town of Chichicastenango,unk,unk,unk,yes,unk,unk,unk,yes
The Redeemed Christian Church of God (RCCG),1952,2026,"Lagos South-West, Nigeria",unk,unk,unk,unk,unk,unk,unk,unk
Pharisees,-150,70,Roman Palestine,no,yes,unk,yes,yes,unk,unk,yes
Xuanzang's Yogācāra Tradition,645,696,Major Yogācāra-driven monasteries during the early Tang period,yes,no,unk,yes,yes,yes,no,yes
Nigeria Fellowship of Evangelical Students (NIFES),1968,2023,Nigeria,yes,yes,unk,yes,no,yes,yes,yes
Scripture Union Nigeria,1885,2023,Nigeria,yes,yes,unk,yes,yes,yes,yes,yes
Nigerian Baptist Convention,1914,2023,Nigeria,yes,no,unk,yes,yes,yes,yes,yes
The Buddhist community on Mount Lu during early medieval China,350,450,Mount Lu,unk,unk,unk,yes,yes,yes,yes,yes
The Redeemed Christian Church of God,1952,2023,"Africa, Europe, North America, South America, Central America, Europe, Middle East, Asia, Australia, New Zealand",yes,no,unk,yes,no,yes,yes,yes
Islam in Hausaland,1500,2024,Hausaland,yes,yes,unk,yes,unk,yes,yes,yes
"The Holy Apostles Community, Ayetoro",1947,2023,"Ayetoro, Ilajeland, Ondo State, Southwest Nigeria",yes,yes,unk,yes,no,yes,yes,yes
The Gideons International in Ngeria,1964,2024,"Africa, Europe, North America, South America, Central America, Europe, Middle East, Asia, Australia, New Zealand",yes,no,no,yes,no,yes,yes,yes
Tsonga,1880,1910,"Tsonga lands, Ronga group ca. 1895",unk,unk,yes,yes,unk,yes,yes,yes
Aymara,1915,1940,"Chuchito, Peru",unk,unk,unk,yes,unk,unk,yes,yes
Tzu Chi in Malaysia,1992,2026,Malaysia,unk,unk,unk,unk,unk,unk,unk,unk
Tell Afis (Syria),-1200,-600,Inner NW Syria,unk,unk,unk,yes,no,unk,yes,yes
Religion in the Mittani Empire,-1550,-1350,Mittani Empire,unk,yes,unk,unk,unk,unk,unk,yes
Taigu School,1762,1950,Shandong and Jiangnan,unk,unk,unk,yes,unk,unk,unk,yes
